accord_id|name|hex_color|perfume_count
a1|Spicy|#9bbcb7|52841
a2|Floral|#dddddd|54803
a3|Earthy|#ad868b|15260
a4|Woody|#d79785|51452
a5|Resinous|#eab99e|19933
a6|Green|#98d087|29307
a7|Fresh|#8fb5ff|45654
a9|Animal|#c5b5b7|9880
a10|Smoky|#a6a6a6|14673
a11|Sweet|#d1a2ff|55641
a12|Fruity|#ff94dc|39197
a13|Powdery|#e7c7e0|26295
a14|Oriental|#c16692|21724
a16|Leathery|#b391aa|10072
a17|Creamy|#d7d7c7|23589
a18|Synthetic|#a8bbec|26118
a19|Aquatic|#8edaf2|9966
a20|Gourmand|#ffa0ab|16834
