n_id|slug|name|url|image_url|total_perfumes|common_position|first_year|last_year|categories|summary_text|n_id_aliases_p|n_id_primary_name_p
72|Amber|Amber|https://www.parfumo.com/Fragrance_Note/Amber|https://media.parfumo.com/notes_png/13/13_2a7ce02a17d01fd8065354e774c4cb2c7197fc1c_1200.png|41561|base|1709|2026|c17|Parfumo knows 41561 perfumes which contain the fragrance note Amber . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1709 and last in 2026 .||
93|Ambergris|Ambergris|https://www.parfumo.com/Fragrance_Note/Ambergris|https://media.parfumo.com/notes_png/04/04_62cd899d4a511c4e74f3c0e0465cfb38d868c5dc_1200.png|9620|base|1768|2026|c18;c25|Parfumo knows 9620 perfumes which contain the fragrance note Ambergris . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1768 and last in 2026 .|3628:Ambergris|
111|Ambrette_seed|Ambrette seed|https://www.parfumo.com/Fragrance_Note/Ambrette_seed|https://media.parfumo.com/notes_png/ff/ff_269bb8310dda02c6ba29d854896f2d587adfd64e_1200.png|1306|base|1950|2026|c19|Parfumo knows 1306 perfumes which contain the fragrance note Ambrette seed . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1950 and last in 2026 .||
115|Ambroxan|Ambroxan|https://www.parfumo.com/Fragrance_Note/Ambroxan|https://media.parfumo.com/notes_png/c8/c8_7186688cc842283c354c8b067a6cc9f4032c9369_1200.png|2557|base|1950|2026|c18;c20;c25;c234|Parfumo knows 2557 perfumes which contain the fragrance note Ambroxan . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1950 and last in 2026 .||
3296|Australian_sandalwood|Australian sandalwood|https://www.parfumo.com/Fragrance_Note/Australian_sandalwood|https://media.parfumo.com/notes_png/68/68_0e1b18b39f7d76dad8507423479b60872dd2a97e_1200.png|1187|base|1984|2026|c546|Parfumo knows 1187 perfumes which contain the fragrance note Australian sandalwood . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1984 and last in 2026 .||
249|Basil|Basil|https://www.parfumo.com/Fragrance_Note/Basil|https://media.parfumo.com/notes_png/5a/5a_9a96ae0524fa8501003dcace5b9265f9bd1312ff_1200.png|3494|top|1872|2026|c52;c284|Parfumo knows 3494 perfumes which contain the fragrance note Basil . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1872 and last in 2026 .||
2614|benzoin-siam|Siam benzoin|https://www.parfumo.com/Fragrance_Note/benzoin-siam|https://media.parfumo.com/notes_png/14/14_08a482d3f932d40a6b057ec6bcb0aaae3ffaa248_1200.png|987|base|1981|2026|c64|Parfumo knows 987 perfumes which contain the fragrance note Siam benzoin . It often occurs in the base note of a perfume. The fragrance note appeared first in the year 1981 and last in 2026 .||
311|Bergamot|Bergamot|https://www.parfumo.com/Fragrance_Note/Bergamot|https://media.parfumo.com/notes_png/ab/ab_4bf90f62ca74630b24f6a16079bdee257c7f677b_1200.png|40879|top|1709|2026|c65;c141|Parfumo knows 40879 perfumes which contain the fragrance note Bergamot . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1709 and last in 2026 .||
2400|Black_locust|Black locust|https://www.parfumo.com/Fragrance_Note/Black_locust|https://media.parfumo.com/notes_png/b8/b8_1394e58591e1a0ecccd751a33e6c09bfa62dbc4b_1200.png|33|heart|1983|2026|c231;c686;c530|Parfumo knows 33 perfumes which contain the fragrance note Black locust . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1983 and last in 2026 .||
4208|Black_pepper|Black pepper|https://www.parfumo.com/Fragrance_Note/Black_pepper|https://media.parfumo.com/notes_png/48/48_34e3668ee4968902bdb90dc1d7c9cdf2312e7c3c_1200.png|6238|top|1820|2026|c74;c475;c567|Parfumo knows 6238 perfumes which contain the fragrance note Black pepper . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1820 and last in 2026 .||
4169|Blackcurrant|Blackcurrant|https://www.parfumo.com/Fragrance_Note/Blackcurrant|https://media.parfumo.com/notes_png/69/69_6dfd864599026eb083aee994533855b419a1c6a7_1200.png|9608|top|1896|2026|c73|Parfumo knows 9608 perfumes which contain the fragrance note Blackcurrant . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1896 and last in 2026 .||
1313|camomile|Chamomile|https://www.parfumo.com/Fragrance_Note/camomile|https://media.parfumo.com/notes_png/38/38_5eea84b7d3ca6bce09abbe4d7e66069496b83415_1200.png|1353|throughout the entire fragrance|1946|2026|c124;c231;c284|Parfumo knows 1353 perfumes which contain the fragrance note Chamomile . It often occurs throughout the entire fragrance of the perfume of a perfume. The fragrance note appeared first in the year 1946 and last in 2026 .||
1330|Cardamom|Cardamom|https://www.parfumo.com/Fragrance_Note/Cardamom|https://media.parfumo.com/notes_png/c2/c2_e07abcb98aa68613178b62061adbce276d9a73c1_1200.png|12281|top|1820|2026|c111;c567|Parfumo knows 12281 perfumes which contain the fragrance note Cardamom . It often occurs in the top note of a perfume. The fragrance note appeared first in the year 1820 and last in 2026 .||
862|Carnation|Carnation|https://www.parfumo.com/Fragrance_Note/Carnation|https://media.parfumo.com/notes_png/04/04_0e7abb73856f079030ec01826a57da88062bc925_1200.png|2907|heart|1768|2026|c112;c204;c233|Parfumo knows 2907 perfumes which contain the fragrance note Carnation . It often occurs in in the heart note of a perfume. The fragrance note appeared first in the year 1768 and last in 2026 .|5150:White carnation;6409:Carnation|
1360|Cassia|Cassia|https://www.parfumo.com/Fragrance_Note/Cassia|https://media.parfumo.com/notes_png/81/81_91175472524043d8d9769145385892d4712ce837_1200.png|410|throughout the entire fragrance|1895|2026|c117|Parfumo knows 410 perfumes which contain the fragrance note Cassia . It often occurs throughout the entire fragrance of the perfume of a perfume. The fragrance note appeared first in the year 1895 and last in 2026 .||
