pf_id|slug|name|role|url|country|pronunciation|perfume_count|avg_rating|total_ratings|interesting_facts
261|Andy_Tauer|Andy Tauer||https://www.parfumo.com/Perfumers/Andy_Tauer|||60|7.5|9692|
64|Benoist_Lapouza|Benoist Lapouza||https://www.parfumo.com/Perfumers/Benoist_Lapouza|||116|7.0|10727|
32|Daniela_Andrier|Daniela Andrier||https://www.parfumo.com/Perfumers/Daniela_Andrier|Germany||174|7.6|45347|"According to Daniela Andrier, a magical moment causes the launch of a new fragrance composition. The grande dame perfumer with German roots takes pleasure and creative input in every new fragrance. However, the spirituality lies within Daniela Andrier, who originally came to Paris to study philosophy at Sorbonne University. She then applied to an internship at Chanel to set the tone for her future as a perfumer. It was Jacques Polge who recognized her talent there and encouraged her to pursue this career aspiration. In 1989, she began her training at the renowned ""Ecole de Parfumerie de Roure"" in the world capital of fragrances: Grasse. Today, her training school belongs to Givaudan, one of the world's leading perfumery companies. It was also Givaudan that hired the elegant and subtle German ""nose"" on the spot. ""Away from any cliché"" is her motto, extend the range of her great creations, which she was allowed to create there over the decades (selection): Bottega Veneta, Knot Bvlgari, Lazulia Calvin Klein, Contradiction (with Antoine Lie) Giorgio Armani, Emporio Armani She Gucci, Envy for men Guerlain, Angélique Noire Kenzo, Le Monde est Beau Lancôme, Attraction (with Christian Biecher) La Perla, Io La Perla (1995) Maison Martin Margiela, Untitled Marni, Marni Miu Miu, Fleur D'Argent Tiffany, Sheer Valentino, Very Valentino Yves Saint Laurent, Rive Gauche Daniela Andrier often worked for the traditional house Prada. To date, she has designed over 50 fragrances exclusively for the Italian brand, including legendary scents like Prada Candy, Infusion d'Iris, Purple Rain, and La Femme Prada, all of which became bestsellers and helped shape the success story of these fragrances. When asked about her recipe for success, she pointed to her preference for natural and high-quality ingredients. Nature, she says, is also what pushes a perfumer to their limits. Capturing her scent is simply an impossibility. Incidentally, those who claim that Daniela Andrier is married to her profession and the Givaudan company are right on several counts. The CEO of the traditional company, Gilles Andrier, is her husband."
42|Dominique_Ropion|Dominique Ropion||https://www.parfumo.com/Perfumers/Dominique_Ropion|France|https://media.parfumo.com/perfum_sounds/perfumers/14/14_7b27eb537596af870a9c0ae742ed3194b6bd17e9.mp3|336|7.5|66707|"Dominique Ropion sees himself as the adventurer among perfumers. Always true to his instincts, this tactic has led him straight to the Olympus of fragrance creation. Born in Paris in 1955, he consistently followed his nose and his calling from a young age. He trained as a perfumer at the ""Roure Bertrand Dupont Academy"" in Grasse, which later became the Givaudan cadre. His first professional station led him to Jean-Louis Sieuzac, where he learned to cultivate his perfection and develop his creativity. Since 2000 he has been working at IFF - International Flavors & Fragrances. His works for all renowned brands worldwide became bestsellers and wrote perfume history. He worked on new creations with most of the major fashion houses over several years, with over 250 perfumes during his career. Many experts see his striving for perfection as the secret of his fantastic fragrance creations. Dominique Ropion views fragrance components and individual ingredients like the chords of a composition. New harmonies are always possible, but you have to look for them and find them. He has already received several prestigious awards for his work. In 2008, he received the ""Prix François Coty"", which is comparable to the Oscars. In 2012, he was named ""Chevalier de l'Ordre des Arts et des Lettres"". This state award is a tribute to persons who have rendered outstanding services to the fine arts of France. Since 2018, he has been allowed to call himself ""Master Perfumer."" This honorary title is equivalent to a knighthood. The IFF awards it exclusively to its most successful perfumers."
156|Edouard_Flechier|Edouard Fléchier||https://www.parfumo.com/Perfumers/Edouard_Flechier|France|https://media.parfumo.com/perfum_sounds/perfumers/42/42_3a0e9c37e610823920999e2b95d1bcb4e6e9dfe1.mp3|21|7.7|2354|"Une Rose - a rose: This could be the imaginary title that skilfully describes the life's work of star perfumer Edouard Fléchier. He is considered a free spirit and an absolute natural talent among the perfumers of his generation, who is not afraid to experiment. Edouard Fléchier was born in Grasse in 1949. After graduating from school, he first studied natural sciences before returning to the capital of beautiful fragrances. There, he attended the Roure Bertrand Dupont Perfumery Academy, which later became known as Givaudan's cadre school. His creativity and unmistakable talent were quickly discovered and cherished, which is why The Roure Bertrand company, therefore, hired him on the spot after his graduation. By the mid-1980s, he was already enjoying one success after another. His early successes from this period include ""Davidoff pour Homme,"" ""Poison"" for Christian Dior (together with Jean Guichard), and ""Gomma"" for Etro. In the 1990s, he was fascinated with ""Chant du Cœur"" for Shiseido, ""Havana"" for Aramis, ""Vendetta pour Homme"" for Valentino or ""C'est la vie!"" for Christian Lacroix. His creative highlights include ""Lys Méditerranée"" for Editions de Parfums Frédéric Malle in 2000 and his very own signature fragrance ""Une Rose"" for the same exclusive line. With ""Une Rose"", Edouard Fléchier created his ticket to the ultimate Olympus of perfumers. Indeed, his sketch for this extraordinary fragrance experiment envisaged the scent of the legendary Périgord truffle as its main ingredient. This earthy and extremely woody essence needed a strong, yet feminine counterpart to exist and convince in the overall package as a women's fragrance. This was found in the best rose extract ever - a Turkish rose. This composition is in parallel with the working method and creative potential of Edouard Fléchier. Insiders have always attested to a certain desire for opulence, but this is exclusively limited to his bouquets. Edouard Fléchier's private and personal life remains unknown. A passionate ""nose"" prefers to communicate without words, and through the flower."
5|Jacques_Cavallier|Jacques Cavallier-Belletrud||https://www.parfumo.com/Perfumers/Jacques_Cavallier|France|https://media.parfumo.com/perfum_sounds/perfumers/a0/a0_738927c06ffda5a2e1cee963ce92f80238a09b50.mp3|206|7.5|74042|"Personalization is the key to luxury. Jacques Cavallier-Belletrud (1962) is considered the ultimate reference for aspiring perfumers. Since the 15th century, his family has lived and worked in the perfume capital of Grasse. His father and grandfather already practiced this profession, so it was natural that Jacques Cavallier-Belletrud also followed this path. He was immersed in the fine art of fragrances as a child. As a teenager, and during his vacations, he earned his pocket money by working as a temp at several manufacturers in Grasse. After graduating from high school, his language studies took him to Nice. But the world of beautiful fragrances kept calling him, and this could not be ignored. His first professional stop was the fragrance manufacturer ""Charabot"". After three years, he moved to ""Quest International"" in the Netherlands. In 1988, he joined the company ""PFW Aroma Chemicals B.V."" and finally, in 1990, Firmenich successfully recruited him. There he worked with Alberto Morillas, with whom he created ""Truth"" for Calvin Klein, ""Chic"" for Carolina Herrera, and ""Hot Couture"" for Givenchy, among others. He created ""Amor Pour Homme Tentation"" alongside Olivier Cresp for Cacharel, ""Midnight Poison"" for Christian Dior, and ""Nina"" for Nina Ricci. For Yves Saint Laurent, he created ""Cinéma"" and ""Rive Gauche Pour Homme,"" among others. Constant novelties seem to characterize the secret of success of many perfumes by Jacques Cavallier-Belletrud. He integrated the synthetic fragrance ""Calone 1951"" into many of his creations. This fresh, maritime note is convincing, for example, in Giorgio Armani's ""Acqua di Gio Pour Homme"" and ""L'Eau d'Issey"" for the Japanese design star Issey Miyake. In 2012, the master perfumer left Firmenich to join the LVMH Group (Louis Vuitton Moët Hennessy) as an in-house perfumer. Since then, he has created over 30 fragrances for Louis Vuitton alone. His latest genius creation was about to go down in fragrance history once again for Louis Vuitton's high-end clientele, to whom he offered custom-made, individual perfumes. These highly exclusive ""made to measure perfumes"" create something unique once again: haute couture for the nose."
17|Jean_Guichard|Jean Guichard||https://www.parfumo.com/Perfumers/Jean_Guichard|||27|7.3|4702|
245|JeanLouis_Sieuzac|Jean-Louis Sieuzac||https://www.parfumo.com/Perfumers/JeanLouis_Sieuzac|||39|7.9|7444|
8|Olivier_Cresp|Olivier Cresp||https://www.parfumo.com/Perfumers/Olivier_Cresp|France|https://media.parfumo.com/perfum_sounds/perfumers/10/10_772d2463e04d178ad21fdc3d10e1f66795a898f1.mp3|303|7.2|47252|"Minimalist, simple, and authentic: this is how perfumer Olivier Cresp loves fragrances and life. For him, the path to the world of beautiful fragrances was spontaneous, yet he followed his destiny with passion and great ambition. He was born in 1955 in Grasse, the world-renowned capital of perfume production. But that was not all. Fragrances were also a family affair and tradition in his home. His great-grandfather, grandfather, and father were already in the business. The Cresp family would share scent experiences with freshly-harvested blossoms, and summer flowers instead of nighttime stories. According to his account, he created his first fragrance at 8 years old in his nursery. So, it was obvious for Olivier Cresp to take up the profession as a perfumer. The charismatic grand seigneur moved to the US in the 1970s to be admitted into the high school of perfume production. He began his professional career in 1992 at Firmenich. There, he got off to a brilliant start, practically in real-time, which to this day has earned him the reputation of true talent and a special ""nose"". During his first year at Firmenich, Thierry Mugler came knocking for a new perfume. An unprecedented potpourri was to strive for that would really and truly represent the heavenly name ""Angel''. The exercise succeeded, and ""Angel'' is still regarded today as an unparalleled fragrance experience and a real turning point for the perfume industry. Other grandiose compositions followed, such as ""Lacoste Pour Femme"", ""Nina"" for Nina Ricci, or ""Dolce & Gabbana Light Blue"". Prizes and awards were flowing in addition to the commercial and artistic success. He received the ultimate accolade of ""Maître Parfumeur"" in 2006, followed by ""Perfumer of the Year"" in 2007. The French state prize for services to art and culture came in 2012 when he was named ""Chevalier des Arts et des Lettres"". In 2018, the Fragrance Foundation honored him with the ""Lifetime Achievement Award."" In his acceptance speech, the great master himself referred to what the perfume world also still dares to hope for: the best is yet to come."
54|Olivier_Polge|Olivier Polge||https://www.parfumo.com/Perfumers/Olivier_Polge|France|https://media.parfumo.com/perfum_sounds/perfumers/20/20_e12bd094cf5aabc963cf013bf52ed1d5b2eb93c5.mp3|137|7.4|44152|"Olivier Polge could be described as a perfumer against his will. The senior creative director for Chanel's fragrance segment originally wanted to follow in his father's footsteps and learn the craft of a ""nose"". However, his dream of becoming a concert pianist fell through due to his talent. Born in Grasse in 1971, the son of Chanel legend Jacques Polge decided to study art history. His father got him a student job at Chanel, which changed his life forever. Olivier Polge immediately gave up his studies to follow the family tradition. He began some training at Charabot in Grasse and the Swiss family business AC&M Parfums. He began his career as a trainee at IFF - International Flavors & Fragrances in 1998. In 2013, Chanel successfully poached him from there. In 2015, he took over from his father, after his father's retirement, as head of Chanel's entire fragrance segment. Some milestones of his work until then were ""Valentino Uomo"", ""Christian Dior Homme"", ""Kenzo Power"", ""Jil"" for Jil Sander, and the collaboration on the fabulous ""Flowerbomb"" of the label Viktor & Rolf. Olivier Polge has created over 150 fragrances to date for all the world's leading designers. But, working for the house of Chanel is both an honor and a challenge, the charismatic chief perfumer proudly emphasizes in interviews. Since the triumph of Chanel No. 5 more than a century ago, a lot has changed on the market. However, the cult perfume can still easily defend its place on the pedestal. Olivier Polge has succeeded in honoring Chanel's signature fragrance with two varied new interpretations. The result is ""Eau Première"" and ""L'Eau"", which should also appeal to younger customers and continue to make the legendary number 5 the undisputed number 1 in the world rankings. Olivier Polge won the ""Prix International du Parfum"" in 2009, an award that honors particularly innovative and artistically outstanding achievements in the field of beautiful fragrances. In the end, his unusual career did not stop him from continuing his family's tradition and that of the House of Chanel. Fulfilling great expectations is apparently in Olivier Polge's blood."
