pid|url|brand|name|year|gender|collection|photo|accords|notes_pyramid|perfumers|description|rating|reviews_count|longevity|sillage|scent|bottle|value|style|season|occasion|tags|similar|layer|concentrations|concentration|perfume_slug|bottle_design|pronunciation|gtin13|top_rank|statements_count|photos_count
78371|https://www.parfumo.com/Perfumes/Guerlain/neroli-outrenoir-eau-de-parfum|Guerlain;b5304|Néroli Outrenoir|2016|for women and men|L'Art & La Matière;376|https://media.parfumo.com/perfumes/74/74e83d-neroli-outrenoir-guerlain_1200.jpg|a8:241;a7:217;a2:169;a1:144;a10:132;a6:96;a11:72;a17:72;a12:60|top(2212;311)middle(1998;2061;3584)base(111;1956;1887)|Thierry Wasser;41;Delphine Jelk;377|"A popular perfume by <a href=""/Perfumes/Guerlain"">Guerlain</a> for women and men, released in <a href=""/Release_Years/2016"">2016</a>. The scent is citrusy-fresh. It is being marketed by <a href=""/makers/LVMH"">LVMH</a>."|8.3;808|45|0:0;1:1;2:1;3:3;4:4;5:10;6:70;7:239;8:255;9:54;10:35|0:0;1:1;2:1;3:2;4:13;5:29;6:160;7:318;8:103;9:17;10:19|0:1;1:1;2:2;3:2;4:2;5:12;6:43;7:144;8:286;9:202;10:115|0:1;1:1;2:0;3:0;4:1;5:8;6:13;7:51;8:196;9:177;10:169|0:0;1:4;2:10;3:11;4:35;5:63;6:115;7:80;8:41;9:9;10:9|Masculine:203;Feminine:238;Modern:128;Classic:123|Spring:274;Summer:266;Fall:185;Winter:80|Leisure:249;Daily:239;Business:218;Night Out:146;Evening:135;Sport:52|neroli;tea;fresh;smoky;citrus;amazing;garden;grounding;heaven;moss;lady grey tea;spicy|239792:80.6;387422:43.9;337621:40.9;380761:30.1;56932:24.1;346882:20.8;376489:18.8;104955:18.3;150441:15.6;135768:14.0;148181:13.3;230687:12.5;133933:10.1;59358:8.6;74:8.5;126405:7.0;3451:6.3;123672:5.5;243538:5.1;55290:4.6;59981:4.5;188469:3.6;106436:3.3;133652:3.3;82425:3.0;49519:2.0;253420:1.7;133539:1.5;5613:1.2;86839:0.9|56932:56.6;239792:30.1;103671:23.1;3381:18.8;100988:15.0|337621:Brume Cheveux|Eau de Parfum|neroli-outrenoir-eau-de-parfum|Pochet de Courval|https://media.parfumo.com/perfum_sounds/perfumes/8d/8d_f0e5ddcfe91854f68ea786263c32c4e86ca875e4.mp3|3346470175808|unisex:238|209|18
3021|https://www.parfumo.com/Perfumes/Kilian/back-to-black-aphrodisiac-perfume|Kilian;b6769|Back to Black, Aphrodisiac|2009|for women and men|Les Volutes des Fumées;532|https://media.parfumo.com/perfumes/4b/4b0aaf-back-to-black-aphrodisiac-perfume-kilian_1200.jpg|a11:363;a20:316;a1:221;a14:174;a12:142;a4:111;a10:95;a5:79;a13:79|linear(1138;1313;3140;3032;2514;2359;901;2876)|Calice Becker;3|"A popular perfume by <a href=""/Perfumes/Kilian"">Kilian</a> for women and men, released in <a href=""/Release_Years/2009"">2009</a>. The scent is sweet-gourmand. The longevity is above-average. It is being marketed by <a href=""/makers/Estee_Lauder_Companies"">Estēe Lauder Companies</a>."|7.8;1267|83|0:1;1:0;2:2;3:0;4:4;5:12;6:29;7:175;8:300;9:268;10:247|0:0;1:0;2:1;3:1;4:3;5:55;6:44;7:324;8:348;9:119;10:98|0:4;1:5;2:8;3:17;4:39;5:58;6:104;7:255;8:358;9:277;10:143|0:3;1:0;2:4;3:0;4:1;5:14;6:42;7:168;8:238;9:201;10:281|0:0;1:4;2:6;3:6;4:32;5:49;6:109;7:113;8:54;9:18;10:17|Masculine:320;Feminine:319;Modern:152;Classic:147|Winter:384;Fall:356;Spring:128;Summer:46|Evening:366;Night Out:344;Leisure:193;Daily:97;Business:75|honey;chamimile;vanilla;tobacco;raspberry;gourmand;winter;sweet;tabacco|38753:57.3;103699:53.5;316261:52.9;275860:48.7;375115:43.9;223808:35.8;142185:26.2;134270:21.5;72762:19.7;697:16.3;31432:15.0;93530:13.7;67116:12.7;24640:12.7;111676:10.8;91577:9.7;33851:9.2;93645:8.9;133105:8.2;10075:8.2;17906:7.6;75971:6.3;58413:6.3;55563:6.1;41824:6.1;191775:6.1;80467:6.1;106933:6.1;64714:6.1;183393:6.1|10195:43.9;58692:35.9;4119:34.2;134819:34.2;68751:30.1;38753:20.8|103699:Solid Perfume|Perfume|back-to-black-aphrodisiac-perfume|Carré Basset|https://media.parfumo.com/perfum_sounds/perfumes/cf/cf_a6e353b48ad1642cfbef3428d4cea71939976443.mp3|3700550218326|unisex:234|232|34
13372|https://www.parfumo.com/Perfumes/Amouage/Honour_Woman|Amouage;b717|Honour Woman|2011|for women|Main;367|https://media.parfumo.com/perfumes/ce/ced599-honour-woman-eau-de-parfum-amouage_1200.jpg|a2:301;a7:174;a17:126;a11:111;a1:109;a13:81;a6:75|top(4208;1443;2381)middle(856;2855;1217;1676;862)base(72;2046;2925;3032;1537)|Alexandra Carlin;548;Violaine Collas;549|"A popular perfume by <a href=""/Perfumes/Amouage"">Amouage</a> for women, released in <a href=""/Release_Years/2011"">2011</a>. The scent is floral-fresh. It is being marketed by <a href=""/makers/sabco-group"">Sabco Group / Oman Perfumery</a>."|7.9;751|53|0:0;1:1;2:2;3:1;4:2;5:21;6:24;7:184;8:239;9:73;10:85|0:0;1:0;2:3;3:0;4:2;5:57;6:80;7:230;8:164;9:33;10:47|0:0;1:1;2:1;3:5;4:10;5:28;6:69;7:176;8:228;9:138;10:96|0:0;1:0;2:1;3:0;4:0;5:15;6:17;7:98;8:161;9:118;10:180|0:1;1:4;2:4;3:1;4:17;5:38;6:87;7:68;8:48;9:7;10:8|Masculine:19;Feminine:298;Modern:125;Classic:146|Spring:293;Summer:230;Fall:180;Winter:103|Daily:233;Leisure:224;Business:204;Night Out:172;Evening:164|bridal scent;jungle flowers;sophisticated;blooming gardenia;elegant;greenhouse;floral bouquet;rhubarb jam;dupe;white floral spicy r;rhubarb;white floral|56520:81.1;153909:80.5;352015:39.7;140413:30.1;41165:30.0;102544:26.7;2083:26.7;189444:23.1;267832:23.1;4444:19.1;55758:18.9;3311:15.9;58263:15.8;141850:15.8;79305:15.2;119504:15.2;57984:15.2;114810:14.2;88776:12.7;26715:12.7;59291:11.8;76950:11.2;5006:11.0;120104:10.6;80531:10.6;129368:10.2;85017:9.7;5615:9.7;138701:7.3;116757:3.0|92778:56.6;153909:51.0;315:43.9;103897:43.9;79305:20.8;125969:20.8|56520:Extrait de Parfum;195408:Attar|Eau de Parfum|Honour_Woman||https://media.parfumo.com/perfum_sounds/perfumes/8e/8e_ccec698d9e0f7522ded7f5600ff1c4edba34bbd9.mp3|7016663410164|women:91|161|41
57760|https://www.parfumo.com/Perfumes/Atelier_des_Ors/lune-feline-eau-de-parfum|Atelier des Ors;b1262|Lune Féline|2015|for women and men|Noire;754|https://media.parfumo.com/perfumes/39/397a85-lune-feline-eau-de-parfum-atelier-des-ors_1200.jpg|a1:214;a11:194;a5:155;a10:136;a4:126;a20:78;a14:78|top(1330;3158;2408)middle(2692;93;3140)base(16906;2207;1894)|Marie Salamagne;229|"A popular perfume by <a href=""/Perfumes/Atelier_des_Ors"">Atelier des Ors</a> for women and men, released in <a href=""/Release_Years/2015"">2015</a>. The scent is spicy-sweet. It is still in production."|7.9;696|61|0:2;1:0;2:0;3:0;4:4;5:6;6:25;7:111;8:277;9:97;10:51|0:1;1:0;2:1;3:0;4:4;5:17;6:46;7:235;8:186;9:45;10:24|0:3;1:3;2:4;3:5;4:17;5:33;6:55;7:134;8:206;9:148;10:89|0:1;1:0;2:1;3:1;4:1;5:6;6:13;7:55;8:122;9:115;10:219|0:2;1:0;2:4;3:3;4:18;5:29;6:67;7:93;8:76;9:21;10:18|Masculine:156;Feminine:216;Modern:85;Classic:100|Fall:234;Winter:229;Spring:86;Summer:23|Evening:218;Night Out:197;Leisure:148;Daily:70;Business:70|cat;balsamic;fur;powdery;warm vanilla;sultry;date;night;winter;styrax;spicy;vanilla|142461:85.8;145400:35.4;345283:34.2;165985:24.7;55759:23.1;331744:23.1;62178:21.6;346516:20.8;87828:20.4;104840:17.3;95663:17.2;111598:16.7;133542:13.8;127642:13.7;144427:11.7;10363:9.8;153718:9.5;56524:8.5;284209:8.2;146134:7.1;4197:6.6;128054:6.4;108302:6.3;4854:6.2;696:6.1;134535:5.8;109758:5.2;14080:4.6;146402:4.6;34766:4.6|67720:56.6;166507:56.6;154951:51.0;133334:37.6|142461:Extrait|Eau de Parfum|lune-feline-eau-de-parfum||https://media.parfumo.com/perfum_sounds/perfumes/d3/d3_3554d6f1b937a80c9f2185efe384d5acae71e3ce.mp3|3760027141465|unisex:388|199|28
80464|https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__Beige_Eau_de_Parfum|Chanel;b2582|Beige|2016|for women and men|Les Exclusifs de Chanel;11|https://media.parfumo.com/perfumes/8d/8d0d8c-beige-eau-de-parfum-chanel_1200.jpg|a2:206;a17:157;a11:105;a13:101;a7:69|linear(812;816;1138;3053)|Jacques Polge;22|"A popular perfume by <a href=""/Perfumes/Chanel"">Chanel</a> for women and men, released in <a href=""/Release_Years/2016"">2016</a>. The scent is floral-creamy. It is still in production."|8.0;513|28|0:0;1:0;2:0;3:1;4:6;5:9;6:35;7:135;8:187;9:46;10:17|0:1;1:0;2:1;3:1;4:4;5:15;6:71;7:217;8:86;9:18;10:15|0:1;1:1;2:1;3:3;4:2;5:20;6:49;7:124;8:138;9:111;10:66|0:1;1:0;2:1;3:1;4:2;5:9;6:23;7:51;8:147;9:83;10:86|0:0;1:0;2:4;3:5;4:21;5:33;6:62;7:51;8:34;9:9;10:5|Feminine:206;Classic:117;Modern:66;Masculine:26|Spring:194;Summer:171;Fall:136;Winter:80|Daily:175;Leisure:171;Business:155;Night Out:94;Evening:88|shampoo;make up bag;champagne hues;powder;classic chanel vibes|1681:87.7;61435:61.5;259198:23.7;272686:17.7;2070:15.8;1483:12.1;80531:11.5;362:10.9;172:8.9;75384:8.6;6018:8.2;90952:6.1;248269:5.1;3834:5.1;23527:4.3;30559:3.1;10303:2.7;74515:2.3;221786:2.0;67865:1.8;93986:1.3;62081:1.1;5615:1.1;122946:1.0;60357:1.0;8795:0.9;71147:0.9;845:0.7;2083:0.6|80459:48.7;845:20.8;120104:15.0;128054:15.0;150856:15.0|61435:Parfum;1681:Eau de Toilette|Eau de Parfum|Les_Exclusifs_de_Chanel__Beige_Eau_de_Parfum||https://media.parfumo.com/perfum_sounds/perfumes/2b/2b_a37bf63b9ad7203e2fe542719da934d4c2db8827.mp3|3145891221107|unisex:495|180|24
84|https://www.parfumo.com/Perfumes/Davidoff/Cool_Water_Eau_de_Toilette|Davidoff;b3333|Cool Water|1988|for men||https://media.parfumo.com/perfumes/a5/a56584-cool-water-eau-de-toilette-davidoff_1200.jpg|a7:1012;a19:1011;a6:487;a18:412;a1:300;a8:262;a4:225|top(3674;1525;1859;2451;1443)middle(4760;1998;1217;2514)base(693;3140;1894;72;2718)|Pierre Bourdon;4;Takasago / 高砂;383|"A perfume by <a href=""/Perfumes/Davidoff"">Davidoff</a> for men, released in <a href=""/Release_Years/1988"">1988</a>. The scent is fresh-aquatic. It is being marketed by <a href=""/makers/Coty"">Coty</a>."|7.3;4123|290|0:4;1:4;2:21;3:43;4:162;5:467;6:1119;7:1298;8:386;9:69;10:66|0:3;1:5;2:14;3:53;4:130;5:487;6:1182;7:1281;8:299;9:63;10:57|0:15;1:27;2:23;3:50;4:107;5:253;6:567;7:1491;8:997;9:374;10:223|0:5;1:10;2:26;3:41;4:121;5:507;6:829;7:1123;8:656;9:139;10:159|0:1;1:7;2:2;3:6;4:23;5:69;6:154;7:376;8:830;9:601;10:666|Masculine:1053;Feminine:55;Modern:518;Classic:607|Summer:1075;Spring:944;Fall:419;Winter:184|Daily:977;Leisure:938;Sport:821;Business:703;Night Out:234;Evening:234|fresh;aquatic;green;classic;woody;blue;the beach and summer;fresh and clean;90s;eighties;air freshener;beach|155233:86.9;2317:83.3;233489:76.4;5111:76.0;28874:53.4;387174:51.0;1507:50.4;170094:43.6;27489:43.3;36323:34.2;131131:34.2;253471:34.2;145585:34.2;207597:34.2;340390:34.2;4269:32.0;260272:30.1;145299:30.1;6804:28.2;37706:25.0;1707:21.5;76665:20.8;254683:20.8;319221:20.8;290797:20.8;162817:20.8;4123:20.2;61688:18.8;65019:18.8;53901:18.8|4231:63.3;5111:59.6;56294:56.6;19019:51.0;2317:49.7;102281:43.9;127379:43.7;131115:43.6;7189:43.6;141572:37.6;75385:31.3;2:30.6;65612:30.6;41045:30.6;773:30.6;127032:30.0;4232:30.0;90321:30.0;13199:30.0;4958:30.0;591:29.1;138908:25.0;204030:25.0;58214:23.1;12381:23.1;4061:23.1;199872:23.1;24659:23.1;28874:18.8;442:18.8|71556:After Shave;134385:Body Spray|Eau de Toilette|Cool_Water_Eau_de_Toilette|Peter Schmidt|https://media.parfumo.com/perfum_sounds/perfumes/76/76_7a6232bc2875e0e4b4e831c6207e4e1c4d028c4b.mp3|3614223708741|men:81|727|118
820|https://www.parfumo.com/Perfumes/Dior/Eau_Sauvage_Eau_de_Toilette|Dior;b3556|Eau Sauvage|1966|for men||https://media.parfumo.com/perfumes/60/60efd3-eau-sauvage-eau-de-toilette-dior_1200.jpg|a8:409;a7:392;a1:256;a6:238;a4:187;a15:119;a2:102|top(3177;311;249;1525;2451;1457;3515)middle(862;1443;1217;2514;1192;2173;2412)base(693;1894;2925;72)|Edmond Roudnitska;26|"A popular perfume by <a href=""/Perfumes/Dior"">Dior</a> for men, released in <a href=""/Release_Years/1966"">1966</a>. The scent is citrusy-fresh. It is being marketed by <a href=""/makers/LVMH"">LVMH</a>."|8.2;1403|98|0:1;1:2;2:22;3:12;4:23;5:173;6:280;7:440;8:129;9:17;10:21|0:1;1:2;2:19;3:7;4:35;5:204;6:355;7:335;8:103;9:12;10:16|0:5;1:1;2:6;3:9;4:18;5:36;6:97;7:247;8:415;9:332;10:239|0:1;1:1;2:1;3:0;4:10;5:66;6:61;7:243;8:332;9:158;10:211|0:1;1:1;2:3;3:8;4:13;5:43;6:99;7:186;8:155;9:42;10:47|Masculine:444;Feminine:60;Modern:75;Classic:318|Summer:414;Spring:414;Fall:248;Winter:106|Daily:393;Leisure:377;Business:361;Evening:180;Night Out:180;Sport:164|masculine;fresh;classic;green;bottle;generational;cologne;subtlety;musk;effortless elegance;vetiver;classic masculinity|73683:73.4;2191:71.1;93749:68.6;45779:66.0;3536:63.3;2580:54.6;118341:53.1;2568:51.0;8793:50.8;20909:50.1;141452:46.8;88545:45.8;763:41.7;33599:39.7;106072:34.2;214:29.1;5734:27.3;3297:26.2;1895:25.0;1684:24.9;23295:23.1;9491:21.5;325876:20.8;319181:20.8;59550:20.8;556:20.3;143103:18.8;18021:17.7;10198:16.3;2:15.0|3190:30.1;1247:15.0;18143:15.0;71307:15.0|73683:Lotion Après-Rasage;93749:Lotion Avant-Rasage|Eau de Toilette|Eau_Sauvage_Eau_de_Toilette|Pierre Dinand|https://media.parfumo.com/perfum_sounds/perfumes/b9/b9_5f3f2f5cdc318f50d23a411191593be743ea9789.mp3|3348900911055|men:97|205|86
147739|https://www.parfumo.com/Perfumes/Diptyque/orpheon-eau-de-parfum|Diptyque;b3559|Orphéon|2021|for women and men||https://media.parfumo.com/perfumes/44/44d2a9-orpheon-eau-de-parfum-diptyque_1200.jpg|a2:353;a7:305;a4:256;a13:224;a1:176;a6:112;a17:96;a11:80|linear(2957;3381;1894;14544;115;3140;1226;2614;72;3173;16122;850;1150;5844;2173;11362;2925)|Olivier Pescheux;111|"A popular perfume by <a href=""/Perfumes/Diptyque"">Diptyque</a> for women and men, released in <a href=""/Release_Years/2021"">2021</a>. The scent is floral-fresh. It is being marketed by <a href=""/makers/Manzanita_Capital"">Manzanita Capital</a>."|8.2;1439|103|0:0;1:1;2:0;3:1;4:21;5:40;6:139;7:460;8:388;9:112;10:65|0:1;1:3;2:5;3:2;4:32;5:51;6:280;7:526;8:247;9:43;10:35|0:2;1:5;2:2;3:8;4:13;5:58;6:94;7:300;8:373;9:343;10:251|0:0;1:0;2:2;3:1;4:9;5:12;6:36;7:123;8:399;9:256;10:309|0:1;1:4;2:3;3:8;4:52;5:75;6:187;7:333;8:238;9:61;10:49|Masculine:233;Feminine:335;Modern:202;Classic:179|Spring:378;Fall:329;Summer:280;Winter:220|Daily:370;Leisure:340;Business:296;Evening:222;Night Out:192;Sport:74|fresh;powdery;unisex;clean;green;sweet;musky;soapy;floral;vintage;nostalgic;woody|281791:77.2;289960:60.1;17337:49.0;376201:40.9;135233:35.4;348385:30.1;200978:30.0;390580:20.8;356707:20.8;121487:16.3;146073:15.4;21001:15.0;187368:12.1;131604:10.9;105909:9.8;11017:8.9;39077:8.3;4224:7.6;125953:5.8;10407:5.8;148855:4.7;80466:3.7;6383:2.1;4220:2.0;92943:1.2;9661:0.8;428:0.7|4231:72.2;133540:61.0;52563:56.6;195960:52.9;3461:51.0;103671:48.7;55759:43.6;4240:40.9;131680:37.6;12429:30.1|381913:Parfum Cheveux;281791:Parfum Solide|Eau de Parfum|orpheon-eau-de-parfum|Illustration: Gianpaolo Pagni|https://media.parfumo.com/perfum_sounds/perfumes/b8/b8_bc3301363b3b4c11a3e3f2691694d5252605fcbb.mp3|3700431440426|unisex:131|396|27
63572|https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-one-for-men-eau-de-parfum-2015|Dolce & Gabbana;b3602|The One for Men|2015|for men||https://media.parfumo.com/perfumes/4c/4c4732-the-one-for-men-eau-de-parfum-dolce-gabbana_1200.jpg|a11:756;a1:755;a4:621;a14:351;a12:216|top(311;12340;249)middle(2061;14513;6902)base(72;3296;3140)|Olivier Polge;54|"A popular perfume by <a href=""/Perfumes/Dolce_Gabbana"">Dolce &amp; Gabbana</a> for men, released in <a href=""/Release_Years/2015"">2015</a>. The scent is sweet-spicy. It is still in production."|8.4;4581|208|0:7;1:16;2:48;3:81;4:286;5:526;6:1222;7:1335;8:581;9:133;10:86|0:8;1:26;2:41;3:89;4:237;5:553;6:1304;7:1360;8:492;9:115;10:75|0:6;1:8;2:8;3:17;4:26;5:94;6:194;7:671;8:1479;9:1405;10:679|0:6;1:4;2:9;3:10;4:27;5:116;6:380;7:987;8:1771;9:596;10:382|0:4;1:12;2:13;3:18;4:71;5:179;6:421;7:950;8:1065;9:345;10:247|Masculine:958;Feminine:61;Modern:535;Classic:372|Fall:955;Winter:848;Spring:610;Summer:239|Evening:916;Night Out:857;Leisure:444;Daily:384;Business:325|spicy;tobacco;amber;date;nothing much;barbershop;seductive;sweet;ginger;soft performance;twilight;night|564:90.1;183577:82.5;371038:71.1;374080:59.6;67345:58.1;138696:54.3;134887:52.4;234062:49.7;147737:40.9;396112:34.2;131354:30.1;136297:25.0;127255:25.0;33311:24.5;151240:23.1;47815:21.2;304360:18.8;1844:18.8;174409:16.3;79810:16.3;95030:15.0;23983:13.7;147057:12.5;153411:11.8;304030:11.8;317881:11.8;49419:10.9;53829:9.6;158077:8.9;34993:8.2|4231:85.1;13889:71.1;19118:67.6;33311:61.0;1844:59.5;3438:54.8;108164:49.0;142198:42.4;100749:40.9;4564:37.6;63591:35.4;17861:32.0;6229:30.1;46695:30.0;63363:28.0;21560:28.0|564:Eau de Toilette;85598:After Shave Lotion|Eau de Parfum|the-one-for-men-eau-de-parfum-2015|Lutz Herrmann|https://media.parfumo.com/perfum_sounds/perfumes/70/70_106345725cef8d98f484e0d4a94ef4c952037e11.mp3|8056669925866|men:13|866|69
262|https://www.parfumo.com/Perfumes/Givenchy/Amarige_Eau_de_Toilette|Givenchy;b5134|Amarige|1991|for women||https://media.parfumo.com/perfumes/53/539a38-amarige-eau-de-toilette-givenchy_1200.jpg|a2:176;a14:100;a11:100;a12:82;a1:75;a13:50;a4:50|top(1702;1998;2239;2438;2901;2258)middle(2855;3115;856;1217;862;1360;1844;2412;2400;4169;2087;2461)base(2514;3760;72;3129;1894;2830;2871)|Dominique Ropion;42;Jean-Louis Sieuzac;245|"A popular perfume by <a href=""/Perfumes/Givenchy"">Givenchy</a> for women, released in <a href=""/Release_Years/1991"">1991</a>. The scent is floral-oriental. Projection and longevity are above-average. It is being marketed by <a href=""/makers/LVMH"">LVMH</a>."|7.6;415|43|0:1;1:0;2:0;3:1;4:5;5:5;6:3;7:64;8:100;9:54;10:100|0:0;1:0;2:0;3:0;4:5;5:11;6:13;7:88;8:108;9:31;10:62|0:1;1:6;2:3;3:3;4:16;5:24;6:31;7:98;8:114;9:70;10:51|0:0;1:0;2:4;3:0;4:3;5:34;6:28;7:99;8:81;9:31;10:39|0:0;1:0;2:1;3:0;4:2;5:3;6:10;7:17;8:38;9:4;10:32|Masculine:7;Feminine:180;Modern:30;Classic:107|Fall:149;Spring:131;Winter:121;Summer:61|Evening:149;Night Out:143;Daily:94;Leisure:94;Business:72|tuberose;floral;white floral;yellow;flowers;neroli;pink floral;violet;fruity;gold;one of a kind|77236:80.6;131456:72.2;111545:55.2;29224:51.2;138825:39.7;207621:37.6;1370:26.8;50763:23.7;22736:20.8;71026:20.8;120347:18.8;65709:18.8;525:18.8;9968:15.0;72404:15.0;5134:15.0;218733:15.0;133037:12.1;25433:12.1;13581:11.8;153182:11.8;87816:11.8;4943:11.8;4586:9.7;27718:8.2;146588:7.1;88776:7.0;8151:6.3;98231:6.1;5617:6.1|1266:51.0|77236:Parfum;111545:Parfum Solide;131456:Gel Solide Parfumé;153182:Brume Parfumée|Eau de Toilette|Amarige_Eau_de_Toilette|Catherine Krunas, Atelier Dinand|https://media.parfumo.com/perfum_sounds/perfumes/05/05_96621088410d9283fe4a3bb5be1ccabca2614e6a.mp3|3274872505780|women:350|76|53
